timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0,44.0,236.0,-372.0,-3808.0,-27.0,-317.0
0.5,-15368.0,232.0,-468.0,-3808.0,-40.0,-310.0
1.0,-15336.0,260.0,-396.0,-3792.0,-38.0,-312.0
1.5,-15344.0,236.0,-432.0,-3776.0,-45.0,-308.0
2.0,-15344.0,236.0,-372.0,-3808.0,-27.0,-317.0
2.5,-15368.0,232.0,-468.0,-3808.0,-40.0,-310.0
3.0,-15336.0,260.0,-396.0,-3792.0,-38.0,-312.0
3.5,-15344.0,236.0,-432.0,-3776.0,-45.0,-308.0
4.0,-15272.0,272.0,-444.0,-3776.0,-35.0,-337.0
4.5,-15328.0,316.0,-500.0,-3792.0,-31.0,-313.0
5.0,-15272.0,244.0,-472.0,-3792.0,-49.0,-283.0
5.5,-15324.0,236.0,-592.0,-3792.0,-26.0,-289.0
6.0,-15304.0,372.0,-460.0,-3776.0,-21.0,-311.0
6.5,-15260.0,316.0,-496.0,-3792.0,-26.0,-309.0
7.0,-15280.0,320.0,-464.0,-3792.0,-38.0,-319.0
7.2,-15280.0,212.0,-304.0,-3792.0,-26.0,-342.0
7.7,-15288.0,212.0,-408.0,-3776.0,-32.0,-303.0
8.2,-15284.0,252.0,-324.0,-3824.0,-79.0,-278.0
8.7,-15320.0,292.0,-420.0,-3776.0,-13.0,-306.0
9.2,-15332.0,224.0,-520.0,-3808.0,-407.0,-173.0
9.7,-15304.0,328.0,-524.0,-3760.0,-44.0,-328.0
10.2,-15272.0,224.0,-552.0,-3792.0,-19.0,-310.0
10.7,-15336.0,312.0,-400.0,-3792.0,-120.0,-268.0
0.0,-15236.0,240.0,-532.0,-3696.0,-42.0,-305.0
0.5,-15244.0,340.0,-492.0,-3712.0,-33.0,-302.0
1.0,-15332.0,260.0,-432.0,-3696.0,-26.0,-302.0
1.5,-15284.0,192.0,-352.0,-3696.0,-30.0,-327.0
2.0,-15320.0,260.0,-540.0,-3696.0,-32.0,-312.0
2.5,-15268.0,380.0,-348.0,-3712.0,-40.0,-334.0
3.0,-15244.0,340.0,-492.0,-3696.0,-25.0,-304.0
3.3,-15220.0,300.0,-404.0,-3696.0,-52.0,-292.0
3.8,-15332.0,284.0,-524.0,-3712.0,-52.0,-281.0
4.3,-15284.0,260.0,-384.0,-3696.0,-37.0,-294.0
4.8,-15336.0,356.0,-476.0,-3728.0,-40.0,-302.0
5.3,-15224.0,244.0,-432.0,-3696.0,-24.0,-320.0
5.8,-15216.0,240.0,-464.0,-3696.0,-56.0,-314.0
6.0,-15320.0,240.0,-396.0,-3680.0,-12.0,-277.0
6.5,-15320.0,428.0,-436.0,-3712.0,-30.0,-319.0
7.0,-15260.0,240.0,-356.0,-3680.0,-6.0,-332.0
7.5,-15324.0,260.0,-428.0,-3696.0,-46.0,-303.0
8.0,-15296.0,292.0,-524.0,-3728.0,-26.0,-259.0
8.5,-15272.0,344.0,-596.0,-3664.0,6.0,-295.0
9.0,-15260.0,216.0,-444.0,-3712.0,-44.0,-321.0
9.5,-15244.0,340.0,-448.0,-3712.0,-25.0,-310.0
10.0,-15280.0,372.0,-524.0,-3680.0,-46.0,-312.0
0.0,-15248.0,308.0,-552.0,-3696.0,-7.0,-325.0
0.5,-15292.0,296.0,-452.0,-3664.0,-28.0,-295.0
1.0,-15348.0,316.0,-496.0,-3648.0,-42.0,-319.0
1.5,-15296.0,260.0,-504.0,-3680.0,-34.0,-299.0
2.0,-15260.0,340.0,-400.0,-3680.0,-11.0,-310.0
2.5,-15368.0,260.0,-504.0,-3680.0,-53.0,-333.0
3.0,-15344.0,296.0,-556.0,-3680.0,-37.0,-311.0
3.5,-15208.0,368.0,-516.0,-3632.0,-18.0,-309.0
4.0,-15352.0,288.0,-516.0,-3664.0,-43.0,-297.0
4.5,-15300.0,240.0,-460.0,-3632.0,-37.0,-307.0
5.0,-15312.0,276.0,-540.0,-3664.0,-46.0,-297.0
5.5,-15256.0,316.0,-376.0,-3664.0,-26.0,-309.0
5.7,-15264.0,364.0,-440.0,-3680.0,-37.0,-297.0
6.2,-15332.0,276.0,-392.0,-3680.0,-44.0,-291.0
6.7,-15372.0,220.0,-388.0,-3696.0,-48.0,-308.0
7.2,-15116.0,252.0,-520.0,-3664.0,-16.0,-312.0
7.7,-15264.0,288.0,-676.0,-3696.0,-31.0,-303.0
8.2,-15208.0,304.0,-416.0,-3664.0,-36.0,-317.0
8.7,-15304.0,356.0,-476.0,-3664.0,-38.0,-300.0
9.2,-15272.0,244.0,-492.0,-3664.0,-24.0,-297.0
0.5,-15288.0,220.0,-36.0,-3648.0,-30.0,-310.0
1.0,-15276.0,264.0,-272.0,-3616.0,-38.0,-324.0
2.0,-15300.0,236.0,-120.0,-3648.0,-18.0,-313.0
2.5,-15328.0,268.0,-152.0,-3648.0,-39.0,-282.0
3.0,-15288.0,220.0,-36.0,-3648.0,-30.0,-310.0
3.5,-15276.0,264.0,-272.0,-3616.0,-38.0,-324.0
4.0,-15324.0,220.0,-28.0,-3632.0,-31.0,-322.0
0.0,-15204.0,192.0,988.0,-4064.0,-38.0,-319.0
0.2,-15368.0,116.0,912.0,-4064.0,-25.0,-290.0
0.4,-15308.0,244.0,1020.0,-4048.0,-18.0,-291.0
0.6,-15276.0,216.0,1000.0,-4016.0,-33.0,-311.0
0.8,-15336.0,136.0,1016.0,-4032.0,-31.0,-304.0
1.0,-15312.0,240.0,1028.0,-4048.0,-28.0,-261.0
1.2,-15336.0,160.0,984.0,-4064.0,-42.0,-335.0
1.4,-15300.0,312.0,1000.0,-4048.0,-41.0,-329.0
1.6,-15212.0,196.0,908.0,-4016.0,-36.0,-303.0
